,Text
7729,"The First Additional Sessions Judge, Jabalpur, was moved to refer the case to this Court under Section 438 of the Code of Criminal Procedure; but he, having declined to do so, the applicant (accused Major Gopinathan) has himself moved this Court for revising the order of the Magistrate dated 30-8-1960."
7730,"We are not oblivious of the fact that the said provision has been inserted to regulate the growing business, trade, commerce and industrial activities of the country and the strict liability to promote greater vigilance in financial matters and to safeguard the faith of the creditor in the drawer of the cheque which is essential to the economic life of a developing country like India."
7731,In the notification dated 12-6-1989 the Central Government have only prescribed the minimum qualifications for appointment to the post of Motor Vehicles Inspector/Assistant Motor Vehicles Inspector.
7732,"The goal of the inquiry is not to find out as to whether a particular provision of General Clauses Act, 1897 would be applicable or not."
7733,"The court can however, in case a dispute arises as to whether certain items of property are trust properties, record a finding that they are so, but this may be done only in case the plaintiff is held entitled to one or the other of the reliefs enumerated in Section 92, C. P. C. 
 3A."
7734,It was only students who did not opt for Kannada as the first language were required to take Kannada as one of the two other languages.
7735,"According to Charlesworth & Percy on Negligence (Tenth Edition, 2001), in current forensic speech, negligence has three meanings."
7736,The execution of the document is proved by the appellant as well as by Fahimuddin (D.W. 2). who has attested it.
7737,Accused Shaikh Mahemood and the Accused No.2 Shaikh Raju were managing a brick kiln at cria120.00 Kagzipura.
7738,"By the judgment under appeal, the Sessions Court held the accused guilty of the charges under Sections 449, 307 and 302 IPC."
7739,"Although there was no privity of contract between plaintiff and the finance company, but once the plaintiff had decided to purchase the vehicle in question which was on hire­purchase basis, then it was his responsibility to have approached the finance company and paid its dues."
7740,So the task of interpreting the laws by finding out what the legislature meant is allotted to the Courts.
7741,In view of the above pronouncement and in view of the scope of the first question which this Bench is answering it is not necessary to discuss how far the provisions of die Land Records Manual support the interpretation put upon the word 'occupant' in the majority judgment in Ram Dular Singh's case 1963 All LJ 667: (AIR 1964 All 498) (FB).
7742,"In the counter-affidavit filed on behalf of the District Inspector of Schools, it has been stated in para 4 that due to promotion of Sri S. P. Tripathi. a L. T. grade teacher, a vacancy occurred in the L.T. grade for short duration but ""due to Imposition of ban on the appointment of teachers vide G. O. No. 3440/15-7-2-(6) 1992 dated 16th July. 1992""."
7743,"The Dafadar, Akul Chandra Rakshit, P. W. No. 12, says that Thatu named before him Moral Majhi, Thatu Majhi, Chand Majhi, Muchiram, Mariram, Chuna, Duia and others and he said that these men bad come to reap paddy and he did not say anything else to him."
7744,"The ratio of 9 : 5 : 2 was arrived at by the AAC, as regards the allocation of this total amount of RS. 1,92,000 under the different heads, on the basis of the letter dated August 3, 1972, and the Tribunal has also upheld that allocation ratio of 9 : 5 : 2 as correct."
7745,"

11. Section 43 of the Ceylon Ordinance merely incorporates the provisions of Rule 20 of the General Rules applicable to Schedules A, B, C, D and E of the English Act."
7746,"The rulings AIR 1950 Madras 769 (Venkataseshamma v. Ranganaryakamma), AIR 1967 A.P. 147 can be pointed out in support of this legal position."
7747,"At about 9:30 at night, when he along with constable Jujarsinh were sitting at the cross road near Gomtipur, Jujarsinh on his mobile phone received a secret information that the matador bearing registration no. G.J.7.Z.5122 was passing by illegally carrying calves to the slaughter house in the city."
7748,"It is submitted that no issue with regard to the res­judicata was pleaded in the written statement by the respondent no.1 and hence without framing the issues and giving an opportunity to the parties to lead evidence therefore, it cannot be presumed that the suit is barred by the principle of res­judicata.  
"
7749,"It has been contended on behalf of the petitioner that there are certain schemes of the petitioner-company under which processing charges, maintenance charges are payable by the certificate holders."
7750,"In default of payment of fine, he shall further undergo SI for three months."
7751,Annexures P-28 to P-34 arc the Product Indent-cum-Delivery Order for various periods issued by the Company to the firm.
7752,No suggestion was put to Arsi that she was tutored by anybody.
7753,It is stated that FIR No.738/2009 under Sections 279/338/427/304A IPC was registered at PS Kotwali in respect of the said accident.
7754,Reference No. 288 of 1975 pertains to this assessment year 1969-70.
7755,"If the salaries are not paid, the remedy of the employees of CAMUL is to proceed against CAMUL, in accordance with law, by approaching the forum under the appropriate labour legislation or the Cooperative Societies Act."
7756,"The power of registration under Section 11 of the Act has undoubtedly been delegated to the Assistant Registrar in the notification of the 12th October, 1963."
7757,"The public mischief with an oblique motive, must be avoided by the Courts, for the litigants to seek relief."
7758,"As the Parliament has exclusive jurisdiction to enact the law pertaining to this field, the State Legislature cannot make law in that regard."
7759,"Now coming to the defence version, accused appellant Mangilal in his statement under Section 313 Cr.P.C. has stated that the disputed land was in their possession and they had cultivated 'Rijka' and wheat."
7760,He found that the skeleton was in a dug out place inside the room.
7761,Even the order to first make payment of amount of compensation to the claimants and then recover the same from the owner and driver of the offending vehicle was not made by the Tribunal although for coming to the aforesaid conclusion the Tribunal took into consideration the case of New India Assurance Co.Ltd Vs. Kamla & Ors reported in 2001 ACJ 843 (SC) .
7762,"Further, it is settled law that the tenant cant dictate the landlord from where he can start his business."
7763,"Thus, where there is material to show escapement of income, it will only affect the computation of income as per other provisions of the Act (other than Section 115J) and not the book profit as per Section 115J."
7764,"On an application under art. 226 of the Constitution challenging the levy of such interest, the Mysore High Court dissented from the view expressed by the Andhra Pradesh High Court in Kishanlal Haricharan [1971] 82 ITR 660, and held that prov. (iii) to Section 139(1) also applied where the date fixed originally under Section 139(2) fell beyond the date specified in the proviso to the said sub-section."
7765,The statements of the witnesses were recorded.
7766,"

It was further observed that:
 ""Lest there should be misapprehension, we wish to keep the distinction clear between the fundamental right to enforce fundamental rights and the interest sufficient to claim relief under Article 226 and even under other jurisdictions."
7767,Abhaya Vs. Raheem (supra) has taken the view that a society registered under the Act does not come under the purview of Sec.92 of the Code.
7768,"According to respondent No. 1 Gadarai (A. W. 3), he was aged 50 years at the time of the incident while his wife was aged 45 years and the respondent No. 3 was aged 14 years."
7769,Plain language of the section appears to take in all victims of motor accidents whether they are inside or outside the vehicle.
7770,"The procedure prescribed by law must be fair, reasonable, humane, and must not amount to infringement of fundamental rights under Articles 14 and 19."
7771,"The defendant, on the other hand examined D.W. 2 Ram Babu, Station House Officer, Bassi."
7772,"
Susamma Thomas (supra) or the other decisions relied upon by the learned Counsel do not lay down any law in absolute terms. 

9.3 Division Bench of this Court in Ritaben alias Vanitaben v. Ahmedabad Municipal Transport Service 1998 (2) GLH 670 was relied upon for the following propositions laid down therein:
 9."
7773,"As stated above, I consider it necessary to extract the preamble of the Sand Act as hereunder:
 Preamble: WHEREAS it has come to the notice of the Government that indiscriminate and uncontrolled removal of sand from the rivers cause large scale river bank sliding and loss of property."" 

 25."
7774,"This claim for compensation made by the assessee-company was settled and under an agreement dated July 12, 1963, the suppliers agreed to pay lira 74,559,725 equivalent to Rs. 5,72,216, by way of compensation for the delay to the assessee-company would not pay lira 74,559,725 out of the price of the machines which it was liable to pay under the first agreement."
7775,"Excluded from the ambit of Section 2(wa) of the Code, such a complainant would not be entitled to avail the remedy of appeal under the proviso to Section 372 of the Code and must continue to avail the special remedy of appeal provided under Section 378(4) of the Code after obtaining special leave."
7776,As per that inquiry it was revealed that deceased Jug Lal was serving in Army who had married Sarti Devi but in 1950 Sarti Devi expired leaving one daughter Omvati.
7777,"After analysing the judgment given in National & Grindlays Bank which was based on a ratio given by the Supreme Court in Jugraj Singh & Another v. jaswant Singh & Others, the court noticed the provisions of Sections 11 & 14 of the Notaries Act."
7778,"The petitioner appeared at the Intermediate Examination of 1973 held by the Board of High School and Intermediate Education (hereinafter referred to as the Board) from the Government Inter College, Banda."
7779,"On behalf of the petitioner, the petitioner examined Sh. Noor Mohammad as PW 1."
7780,Interpretation must depend on the text and the context.
7781,"The allegations in paragraph No. 7 of the petition are that, even before he assumed the reins of office as Chief Minister of Rajasthan or immediately thereafter, Shri Bhairon Singh Shekhawat, the Chief Minister, met the Chancellor and discussed the affairs of the three Universities functioning in Rajasthan."
7782,The learned counsel appearing for the respondents applied for certificate of fitness under Art. 133(1)(c) of the Constitution.
7783,It is no doubt true that Shri Salauddin in his earlier statement recorded on 2.3.1993 had supported the claim of the assessee and subsequently took a different stand and stated that amount shown as payable to their concerns were not payable.
7784,"In this case, the petitioner has the right under article 22(5) as interpreted by this Court by majority to be furnished with particulars of the grounds of his detention ""sufficient to enable him to make a representation which on being considered may give relief to him."""
7785,"The statutory deposit of `25,000/- be refunded to the Appellant Insurance Company."
7786,"To say that for becoming eligible for registration under Rule 26A one should already be a headload worker, amounts to saying that for registration in the Employment Exchange one should already be a person holding a job."
7787,"For the purposes of awarding <span class=""hidden_text"" id=""span_7"">MACT No.337/12 Shri Maan Singh &amp; Anr. Vs. Shri Anil Jain &amp; Anr. Page 7 of 21</span> compensation under Section 163 A of the M.V. Act, claimants have to prove that the death or permanent disablement occurred due to accident arising out of the use of motor vehicle in question."
7788,"Learned Senior Counsel for the petitioners, has, after placing reliance on the Judgment of the Apex Court in Government of India v. Madras Rubber Factory Ltd., urged that in case of a product which has a cum-duty price, the assessment is required to be done on the basis of wholesale price less excise duty payable, as provided under section 4(4)(d)(ii) of the Central Excise Act, 1944."
7789,"It is clear from the above that the two critical aspects which need to be addressed in any action under Section 147 are whether the Assessing Officer has ""reason to believe"" that any income chargeable to tax has escaped assessment and whether the proposed reassessment is within the period of limitation prescribed under the proviso to Section 147."
7790,"Under sub-section (1) of Section 115-O, an additional income tax was imposed on profits distributed by a Company by way of dividend and a new clause, clause 33 was inserted in Section 10 to exempt dividend income in the hands of the shareholder."
7791,"In Sakharam v. State of M.P., (1992) 2 SCC 153, cited by Shri Ali, there was no direct evidence against the appellant."
7792,Written down value in its turn depends upon the actual cost of the assets to the assessee.
7793,"It is whether one of the joint claimants can, by accepting performance, give the obligant a valid discharge as against the other joint claimants as well."
7794,"The plaintiff turned down the proposal even on that occasion, it was thereafter that the appellant went to the plaintiff with Champalal Jain (P. W. 1) and Bihari Lal Shah (P. W. 3)."
7795,It is also submitted that normal practice of deduction of 173rd amount of total income from the total annual income cannot be applied in the facts of this case.
7796,Since the Constitution came into effect a number of cases have been gone to the Supreme Court with reference to Article 311.
7797,"Section 24 of the Bombay General Clauses Act, 1904 as adopted in the State of Gujarat makes provisions applicable to the making of the rules after previous publication."
7798,Such liability exists notwithstanding any contract to the contrary.
7799,"The other consequence of non-registration is to prohibit the document from being received not ""in"" evidence, but ""as"" evidence of any transaction affecting such property."
7800,"It was held by the Privy Council that the writer was perfectly justified in pointing out what was obvious, that sentences did vary in apparently similar circumstances with the habit of mind of the particular Judge."
7801,There is yet another significant circumstance in this case having a bearing on the question that is being considered.
7802,PW-1 Danappa also came there and witnessed the scene in the house and thereafter went to the police station.
7803,"In Anil Kumar v. M.K. Aiyappa, the two- Judge Bench had to say this:
 ""The scope of Section 156(3) CrPC came up for consideration before this Court in several cases."
7804,"If we go by the recitals of Ex.A-3, with the conduct of plaintiff No. 1 and other circumstances, it is possible to hold that the original of Ex.A-3 never remained with Rajamma or plaintiffs and it must have remained with defendant No. 1."
7805,To contend otherwise would be to take too technical a view not warranted by the scheme of the provision.
7806,"On the pleadings of the parties, the Ld. Trial Court by order dated 03.09.2005 framed the following issues:-
 ""1.Whether the suit of the plaintiff is bad for mis-joinder and non-joinder of necessary parties? (OPD)
 2. Whether the plaintiff is entitled for the relief of permanent injunction as prayed for?"
7807,"In the subsequent proceedings, if such claim is established by cogent evidence adduced by the landlord, decree for possession could be passed."""
7808,"Thus, delay in registration of case is not fatal."
7809,"The Labour Commissioner vide his order dated 5th April, 2009 decided the application of the union and instead of reviewing the order at the level of the competent authority had chosen to make a Reference to the Industrial Tribunal in terms of section 25-O(5) of the Act."
7810,"One of the sons, namely, Mahesh Behari Mathur, who was respondent No. 2 in the appeal before the Tribunal never contested the application and the other son Mukat Behari Lal, appellant herein, also did not dispute the fact' that they were living with the deceased at the time of his death and they were not financially dependent upon their father."
7811,"

 Issue no.1: Whether the suit of the plaintiff is barred under order VII Rule 11 CPC?"
7812,"He submitted that as per the version of PW.3 Swinder Singh and PW.4 Kulwant Singh, the two eye witnesses, the alleged occurrence took place at 4/5 A.M. on 30.12.1993 and Hardial Singh (injured at that time) was taken to the Govt. Dispensary, Ghuman by them at 7/7.30 A.M. and he was medico legally examined at 9.30 A.M."
7813,"When a thing is deemed to be something else, it is to be treated as if it is that thing, though in fact it is not."
7814,"is indicated in Thakur Das v. State of M. P., AIR 1978 SC 1."
7815,"In our opinion, as held by the learned Single Judge, the District Judge, Bikaner, had the jurisdiction to entertain and decide the objection application filed under O. 21, R. 58 of the Code of Civil Procedure by the appellant."
7816,"It is only after considering the factors, referred to in the proviso to Article 243-Q(1) of the Constitution of India, can the Government exercise its discretion either to continue or dissolve the township."
7817,SO: main to khud dara hua apse zyada.
7818,"However, even otherwise there could be no release from detention even on the petitioner furnishing bail bonds, in view of what we have held about his being liable to be transferred back to the Central Prison, Nasik in connection with the NDPS Act case in view of the mandate in Section 270 of the Cr. P.C. 

74."
7819,It was the case of the petitioners that Section 33 of the VAT Act will not apply for reopening assessment pertaining to Entry Tax Act.
7820,"This was followed by a letter of intent dated Nov. 4, 1980 issued by the CMDA incorporating therein the terms and conditions agreed upon by the parties and in reply thereto the petitioner on behalf of the firm wrote a letter on Nov. 6, 1980 accepting the terms and conditions."
7821,"The counsel sent it to the Assistant General Manager, U. P. Roadways, Agra, who received it on 19-12-1969."
7822,Normally a Court must have regard to circumstances existing as at the date when the issue of jurisdiction is tried and must decide it in the light of circumstances existing as at that date.
7823,The successful challenge to the election of the RC as member of ward No.14 Zila Parishad Bharatpur as reflected in the impugned judgment is first being addressed.
7824,"The insurer shall deposit the award amount along with interest upto the date of notice of deposit to the claimant with a copy to his counsel and the compliance report shall be filed in the court along with proof of deposit of award amount, the notice of deposit and the calculation of interest on 25.02.2015."
7825,"Obviously the suit is filed at this belated stage which is ex-facie time barred, with sole purpose to make out semblance of a dispute in the present proceedings."
7826,"
 The learned Judge was clearly in error in accepting this contention and holding the evidence, proposed to be adduced by the appellants as inadmissible, being hit by the rule against 'hear-say'."
7827,"Considering the rival contentions of the parties, and recording reasons in support of the order, the learned Single Judge held that there was no prima facie case in favour of the plaintiffs."
7828,"PW 1, an old man of 60 years, being Karinda, was not spared, though he was a mute spectator to the incident."
7829,An honourable man repays his debts instead of raising all kinds of technical objections when the time comes for repayment.
7830,"In holding as above, their Lordships again quoted from and reiterated the rule in Raghubans Dubey v. State of Bihar 1967 Cri LJ 1081 (SC), thus leaving no manner of doubt that the enactment of the new Code had in no way changed the legal position."
7831,The remaining seats available for the general candidates were further allocated between the general students of Poona University and Shivaji University on the basis of the proportion between the number of students registered at the Pre - Professional (Medical) examination in the two Universities in the year 1970.
7832,"Sri Alok Sinha, Advocate appearing in one other petition in the meantime has drawn attention of the Court to the fact that the provision under Section 68 (3) (ca) already repealed in the year 2001 by Repealing and Amending act, 2001 Time was given to the counsel for the State, Shri Krishna Chandra and Shri Mukund Tiwari, learned Additional Chief Standing Counsel for confirming the aforesaid fact."
7833,A specific amount should be added to the loss suffered by the claimant in case of disabled person who is incapable of looking after himself for the rest of his life towards the cost of service either gracious or otherwise.
7834,"

 In view of allowing the appeal filed by the claimants and enhancing the compensation awarded by the Tribunal and confirming the finding of the Tribunal on negligence, MFA 54/2010 filed by the Insurance Company does not survive and accordingly, it is dismissed."
7835,"The petitioner in these two writ petitions prays for the issue of a writ of certiorari or other appropriate writ under Article 226 of the Constitution to quash the order of the Deputy Commercial Tax Officer, Mylapore, dated 3-6-1958 in A. 2/227/54-55 relating to the assessment year 1954-55."
7836,"Pangalabhai (Exh. 30) has stated that when his truck (GTF) had reached near Bandhani Chokdi, another truck had come from Sojitra side and dashed against his truck."
7837,"Regarding the exclusion of basement floor for counting the number of floors, the Counsel for the respondent submitted that he received support from the Judgment of the Supreme Court in Express Newspaper v. Union of India, ."
7838,"As against this evidence adduced on behalf of the appellant/plaintiff, on behalf of the 1st defendant, D.W.1 K. Kameswara Rao was examined who deposed that he has been working as Assistant Administrative Officer in the 1st defendant's Corporation since 1989 and he is giving evidence with reference to records."
7839,"In Punjab & Haryana High Court, in Surinder Singh v. John Impex (P) Ltd. (I (1997) BC 247), it was held that a power of attorney agent of the payee or the holder in due course is competent to make a complaint in writing under Section 138 of the N.I.Act to facilitate valid cognizance being taken by the Magistrate."
7840,"These appeals are interlinked as preferred against the judgment dated 9.9.2010 passed by Second Additional Sessions Judge, Mauganj, Distt. Rewa in S.T. No.46/2006, whereby the appellants were convicted and sentenced as under -  :: 3 ::
 Cri."
7841,It may be required to be noted that village Lasundra is situated at a distance of 3.00kms.
7842,"To P.W. 1 it was even suggested that the disease had died of cholera about which information was given by Kuldeep to P.W. 2, Rajesh Kumar Kaushik."
7843,"""Any purpose ancillary to cultivation"" in Section 2 (f) (1) (i) (B) of the Vesting Act was deliberately kept wide by the legislature, because it knew that there were recognised ""uses"" other than those specifically enumerated in the Explanation."
7844,She gave new clothes instead of old which she brought to the husband's house.
7845,"The U.S.A. is admittedly a country which is not a reciprocating territory recognised by the Foreign Judgment (Reciprocal Enforcement) Act, 1923."
7846,"Evidence of PW 6, Sanjay Khandekar, PSI, who has drawn the spot panchanama in the presence of PW 4 Shriram, corroborates above evidence."
7847,"No materials or arguments are advanced before me to take a different view and therefore, I have to approve the above finding of the court below."
7848,"At least the witnesses would have stated about the complexion, height and physical features of those persons so as to come to a conclusion that they had an opportunity to identify the same persons, subsequently, either before the police station or before the T.I. parade or before the Court."
7849,"The provisions of the High Court of Karnataka Rules, 1959, the rules made by the High Court of Karnataka under the Karnataka.Coutt Fees and Suits Valuation Act, 1958, and the provisions of the Civil P. C. 1908, shall apply, as far as may be, to proceedings under Art. 226 (and/or Art, 227) and writ appeals in respect of matters for which no specific provision is made in these rules."""
7850,"In view of the above observations, I do not find any flaw in the impugned Order dated 21.04.2011 passed by the Ld. ARC (N/W), Rohini Courts, Delhi, and I do concur with the findings of the Ld. Trial Court.  

ARCT No. 20/12 Page 16 of 17   39."
7851,"Accused Mohd. Aslam claimed that he was not arrested from the spot as claimed by the witnesses and instead he was picked up on 07.07.2011 from ISBT, Kashmere Gate when he was returning home after leaving his wife at her parental house in Ballimaran."
7852,"The legislature itself has clearly stated that the Explanation introduced by the Finance Act, 1983, will take effect only from 1-4-1979."
7853,"The first Respondent, however, rejected the objections by his order dated 21 January, 2013."
7854,"Here it must be noted that the land belonging to late Narayanan Nair, father of the petitioner was acquired by the Government as early as in December, 1983 and the Land Acquisition Court had enhanced the compensation in similar cases as per judgment and decree dated 26.7.1989."
7855,"The Company challenged the order of the learned Single Judge (D.K. Deshmukh, J.) made in the three writ petitions on 1st December 1997 by their Letters Patent Appeals Nos. 210 of 1997, 211 of 1997 and 212 of 1997."
7856,"Defendant No. 1 filed the plaint in Title Suit 65 of 1950 on the 28th of July 1950 in the Court of the Subordinate Judge of Birbhurn at Suri impleading 'Dina Nath Tri-loki Nath a Hindu joint family firm carrying on business at Marufganj in Patna City, District patna Chouki patna' as would appear from Ext. 1 the plaint of the suit."
7857,", the Bank itself has been held to be so in the decision of the Apex Court in Punjab and Sind Bank Vs. Mohinder Pal Singh, (2005) 12 SC 747."
7858,"The expression ""soon before her death"" no doubt, is an elastic expression and can refer to a period either immediately before her death or within a few days or even a few weeks before it."
7859,The counsel for the parties have relied on reported decisions and other material in support of their respective arguments.
7860,"If the shareholders are identified and it is established that they have invested money in the purchase of shares then the amount received by the company would be regarded as a capital receipt but if the assessed offers no Explanation at all or the Explanation offered is not satisfactory then, the provisions of Section 68 may be invoked."
7861,"As per the prosecution version, on 31.8.2002 (the day of Janam Ashtami festival), a day before the occurrence, when Varinder alias Monu (PW.13), nephew of complainant Ajit Singh, was coming out of the Shiv Mandir at Sonipat, he was given beatings by A-2."
7862,"Similarly, in a case of Hindu Singh v. State of Uttar Pradesh, (2), in the appeal before Their Lordships, the parties being closely related, they were permitted to compound the offence u/Ss. 324 and 325 of IPC and the order of conviction and sentence was set aside and the accused were acquitted."
7863,"As per details furnished by the Assessing Officer with his report dated 12.4.2005, the sales of NIHPL from the Beach View shops varied from Rs. 1.07 crore in 1994-95 to Rs. 72.60 lakh in 2001 -02 peaking at Rs. 1.37 crore in 1996-97."
7864,"Arguably, MOHUN is a common and/or a household name, and, per se, is inherently incapable of attaining any distinctive character."
7865,"

xi.In a given case the trial Court can also call upon a victim to engage a lawyer if in its opinion the same is required for the proper conduct of the case."
7866,He would submit that such rules were brought into statute by Notification No.13/2008-CE(NT) and was made applicable from 01.03.2008.
7867,"On the contrary, if the trial is being conducted in a superior court like the Sessions Court and if that court comes to the conclusion that the evidence produced in the said trial makes out a lesser offence than the one with which the accused is charged, it is always open to that court based on evidence to convict such accused for a lesser offence."
7868,In paragraph- 16 of the election petition petitioner asserted that the Patna High Court E.P. No.7 of 2009 dt.06-11-2012 conduct of the Returning Officer while conducting the impugned election has not been fair and impartial as he was influenced by the party and the candidate.
7869,"(See in this connection Sital Din v. Anant Ram , and the first appears to be no authority for the proposition of the learned Judges of the Rangoon High Court but may even support the contrary."
7870,All the witnesses can not be expected to give parrot like version.
7871,"Accused in their statements under Section 313, Cr. P.C. denied accusation."
7872,The facts mentioned in W.P. Nos. 23990 and 23991 of 1997 is reiterated in this petition.
7873,"There is one more document which is very vital in this case and the said document has been placed on record by defendant herself, which is Khasra Girdawari Ex.PW3/D2, which shows the defendant to be in possession of a substantial portion of ER­18 and a smaller portion in ER­19."
7874,It is true that some of the decisions of the Tribunal held that benefit of small scale exemption under Notification No. 175/86-C.E. and Notification No. 1/93-C.E. was not available when the goods were affixed with the brand name of foreign person or of a trader who is not manufacturer observing that latter was not eligible to the benefit of small scale exemption under the aforesaid exemption notification.
7875,"Until such an event of acceptance of the marriage or lapse of limitation period, the marriage shall continue to remain as a voidable marriage. 

 22.The circumstances under which this voidable marriage will become valid or would be treated as annulled as per Section 3 of the Act, is stated by the Full Bench in para 21 of the said judgment in the following manner:

 ""21."
7876,"This is clarified by Clause (5) of Article 31 of the Constitution in which the laws mentioned in Clause (2) have been divided into two classes, viz., existing laws and any laws which the State may hereafter 'make'"
7877,"It is submitted that this complaint was filed with an ulterior motive not only to harass the petitioners, but a case was also registered against the defending counsel who came to defend the petitioners at Tikamgarh."
7878,The learned Advocate General however told the Commission that there will be no difficulty in extension of time.
7879,", on 10.04.1988, at 3.00 a.m., kept the bomb at the back side of the Nehru Statue at Kathipara, Guindy and made it exploded, thus causing a damage to the tune of Rs.3,806/-."
7880,"
 The argument put forward is that as in a suit for damages for malicious prosecution the onus to establish these two ingredients is on the plaintiffs, the Courts below were wrong in law in decreeing the suit because of the failure of the appellant to establish that the prosecution was justified and bona fide."
7881,"The applicant, who was called to the Bar on 18-11-35, was enrolled as an Advocate of the High Court of Judicature at Allahabad on 23-2-38 and his name was duly entered on the roll of Advocates of the same High Court under Section 8(2)(b) of the Indian Bar Councils Act, 1928."
7882,"
 
(47) D.B. Civil Special Appeal (Writ) No.680/2010 Hariram vs. Director General of Police & Ors.

(48) D.B. Civil Special Appeal (Writ) No.681/2010"
7883,"The petitioners appeared before the DRT on 19.4.2007 with a prayer for adjournment for filing written statement which, it is claimed, was allowed but illegally by an ante-dated ex-parte impugned order dated Patna High Court CWJC No.16665 of 2009 dt.11.12.2013 19.4.2007, the application of the Bank was allowed and certificate was issued. 

 "
7884,"The object of an award of damages is to give the plaintiff compensation for damage, loss or injury he has suffered."
7885,"Only in Section 145 Cr.P.C. proceedings marked as Ex.B.2, the said letters were referred as Document Nos.43 and 44."
7886,The petitioner in this case (Civil Writ No. 1307 of 1939) is a displaced person from West Punjab and has now settled at Jullundur.
7887,"In so far as the user of the land by the Respondent Nos. 3 and 4 is concerned, undoubtedly they have been using the land admeasuring 20 Acres from the date of allotment i.e. the date of entering into the Joint Venture Agreement."
7888,"Thus, the amount of actual work done in Unit No. I is Rs. 1,25,64,468 while actual work done in Unit No. II at Rs. 1,29,03,964 and Rs. 1,28,42,491 in Unit No. III."
7889,In this case it is not seriously disputed by the State that the plaintiffs were citizens of India at the commencement of the Constitution.
7890,"P.W. 10 Ashwin is son of P.W. 
 3 Vibha, P.W. 11 is Revenue Officer who had drawn sketch map of the spot."
7891,We are of the opinion that a harmonious interpretation is necessary in this matter.
7892,"Page no. 12/ 20 against the plaintiff herein, Shanti Devi, Bhupinder Kumar (PW1) and Jeet Ram."
7893,This appeal is filed against the order dated 29-12-1999 made in OAA No. 120 of 1998 by the Railway Claims Tribunal.
7894,The Full Bench of the Madras High Court held that the impugned Act did not trench upon the exclusive powers of the Federal Legislature and the observations quoted above were made in upholding the decision of the Madras High Court.
7895,"In New India Assurance Company Ltd. v. Sadanand Mukhi [(2009) 2 SCC 417] the Apex Court held that, by taking an 'act policy' the owner of the vehicle fulfills his statutory obligation as contained in S.147 of the Act."
7896,"During the course of hearing also, the learned CIT (Departmental Representative) has virtually conceded to this legal preposition that every assessee has his right to convert his investment into stock-in-trade."
7897,A some what similar situation came up for consideration before the Division Bench of the Kerala High Court in a case reported in 2014 (2) Kerala Law Times (Kerala Public Service Commission vs. Sini).
7898,The reasons to be stated as per the above provision are the reasons for the adjournment of the case and not the reasons for the remand.
7899,Against the order of the arbitrator the State Government preferred an appeal to the High Court which was initially numbered as Appeal From Original Decree No. 159 of 1955.
7900,"It is averred by the State that under Chapter III-B of the Rajasthan Tenancy Act, 1955, 33,471 cases were decided in accordance with the provisions of that chapter upto 31-12-1972 prior to the commencement of the new Law i.e., the Rajasthan Imposition of Ceilings on Agricultural Holdings Act, 1973."
7901,In August 1963 Shri Devi Dayal Mehra instituted a further eviction petition against Shri Tilak Raj Malhotra under Section 14(1)(g) of the DRCA.
7902,"Mohmed Ahmed Manjoti had driven the truck from village Palia to Ahmedabad along with Alimohmed Bhara, Arvind Bhailal, Babu alias Babla and one Ibrahim."
7903,"The second circumstance relied upon by learned counsel is that the cheque which was tendered did not correctly set out the name of the payee and, therefore, the tender was not valid."
7904,"It further seems that the plaintiff had submitted an application under Order 7 Rule 14 (3) of the Code and had sought leave to submit certain more documents like : a registered sale deed and house tax receipts in respect of a house situated at C.P. Colony, Morar, Gwalior."
7905,"In view of our aforesaid discussion, we are of the opinion that the conclusion arrived at by the learned Single Judge is justified and does not call for any interference."
7906,"Two separate orders, dated 13.11.1992 and 17.11.1992 were passed by the D.I.O.S., the effect of which was that the resolution of suspension could not be approved as it has lapsed on account of passage of time and that Saraswat shall continue to work as Principal."
7907,"The Supreme Court pointed out that Section 13 (C) made the Vice-Chancellor responsible for the discipline in the University in accordance with the Act, Statutes and Regulations."
7908,"Similarly in the case of M/s.Milan Stores, a dealer, located at Khalrew Road, Sakinaka, Bombay 400 072 during the inspection on 10th July 2000 by the Inspector of Legal Metrology `A Division, two packages of 50-50 Britannia biscuits were seized on the same ground of violation of Rule 5 read with IIIrd Schedule."
7909,P. W. 1 deposed in his evidence that by then he did not know that his name was T. Hanumantha Rao.
7910,The prosecution has to prove beyond reasonable doubt that cheque was issued by the accused duly signed by him but this burden is lightened by presumption under Sec. 118 and 139 NI Act.
7911,"Cri. Revn. Case No. 1569 of 1960, D/- 11-9-1961 (Cal.) there is no bar in limine on the prosecution to proceed under the General Act on an offence which otherwise lies, merely because the same facts also constitute an offence under the Special Act, subject only to the overriding consideration of double jeopardy."
7912,"Thus, BOAC, against their commercial judgment ordered too many Super VC-10 aircraft."
7913,"Therefore, the issue of notice Under Section 148 in the name of the association of persons was justified for making the assessment in the hands of the association of persons."
7914,"It is also an admitted position that all these documents in English referred to in para 11 of the grounds of detention, were supplied to the detenu in Hindi on 19th July, 1989, fortynine days after the grounds of detention were served on him."
7915,"In para 12, the true concept of the wholesale cash price envisaged by section 4(a) was expounded in the following words :- 
 "" The value of the goods for the purpose of excise must take into account only the manufacturing cost and the manufacturing profit and it must not be loaded with post-manufacturing operation."
7916,"On p. 25 of the book we have the bylaws made by the Coir Board in exercise of the powers conferred by Section 27 of the Coir Industry Act, 1953, and confirmed by the Central Government."
